index to extract,derived Rh (nm),normalized intensity (0-1),normalized intensity (0-1) corrected,intensity weighted average Rh (nm),intensity weighted average over log(Rh (nm))
3.0,"[2.562, 3.52, 4.826, 5.896, 8.571, 11.302, 15.415, 22.464, 31.449, 40.384, 53.628, 73.153, 120.558, 175.568, 255.941, 312.667, 428.011, 623.665, 908.24, 1321.751, 1922.789, 2795.942, 4063.95, 5904.142, 8433.162]","[0.071, 0.29, 0.468, 0.79, 0.759, 0.528, 0.302, 0.16, 0.304, 0.519, 0.752, 0.979, 0.98, 0.867, 0.707, 0.554, 0.478, 0.339, 0.226, 0.146, 0.085, 0.043, 0.02, 0.02, 0.02]","[0.053125   0.28125    0.46666667 0.80208333 0.76979167 0.52916667
 0.29375    0.14583333 0.29583333 0.51979167 0.7625     0.99895833
 1.         0.88229167 0.715625   0.55625    0.47708333 0.33229167
 0.21458333 0.13125    0.06770833 0.02395833 0.         0.
 0.        ]",172.70460997274654,56.73192164715599
4.0,"[1.218, 1.769, 2.57, 3.734, 5.425, 7.881, 11.068, 15.543, 22.581, 32.253, 42.32, 54.593, 72.859, 171.514, 243.206, 353.332, 513.323, 745.761, 1083.448, 1574.043, 2286.783, 3322.259, 4826.607, 7012.138, 9045.804]","[0.008, 0.009, 0.031, 0.131, 0.301, 0.306, 0.177, 0.049, 0.048, 0.178, 0.417, 0.634, 0.854, 0.998, 0.82, 0.666, 0.509, 0.371, 0.268, 0.191, 0.131, 0.09, 0.064, 0.05, 0.047]","[0.         0.0010101  0.02323232 0.12424242 0.2959596  0.3010101
 0.17070707 0.04141414 0.04040404 0.17171717 0.41313131 0.63232323
 0.85454545 1.         0.82020202 0.66464646 0.50606061 0.36666667
 0.26262626 0.18484848 0.12424242 0.08282828 0.05656566 0.04242424
 0.03939394]",460.99156897034135,136.04556197947434
5.0,"[1.369, 1.976, 2.851, 4.157, 5.979, 8.794, 12.775, 18.697, 27.07, 40.48, 56.214, 72.073, 92.382, 127.015, 187.004, 271.638, 385.41, 545.877, 786.497, 1135.282, 1613.236, 2376.686, 3449.918, 5063.024, 7305.957, 9815.769]","[0.007, 0.008, 0.004, 0.012, 0.095, 0.144, 0.061, -0.004, -0.006, 0.035, 0.171, 0.425, 0.673, 0.893, 0.966, 0.883, 0.726, 0.529, 0.334, 0.182, 0.061, -0.009, -0.029, -0.031, -0.03, -0.033]","[0.04004004 0.04104104 0.03703704 0.04504505 0.12812813 0.17717718
 0.09409409 0.02902903 0.02702703 0.06806807 0.2042042  0.45845846
 0.70670671 0.92692693 1.         0.91691692 0.75975976 0.56256256
 0.36736737 0.21521522 0.09409409 0.02402402 0.004004   0.002002
 0.003003   0.        ]",297.11136158844766,161.77371302784746
6.0,"[5.696, 8.875, 11.846, 17.209, 25.002, 36.323, 52.771, 74.106, 93.99, 115.228, 156.413, 227.238, 330.134, 479.621, 696.798, 1002.055, 1470.7, 2136.646, 3104.138, 4509.719, 6551.761, 8743.815]","[0.008, 0.042, 0.038, 0.034, 0.019, 0.022, 0.048, 0.168, 0.462, 0.757, 0.95, 0.987, 0.866, 0.678, 0.494, 0.336, 0.21, 0.117, 0.066, 0.043, 0.046, 0.051]","[0.         0.03472932 0.03064351 0.02655771 0.01123596 0.01430031
 0.04085802 0.16343207 0.46373851 0.76506639 0.96220633 1.
 0.87640449 0.68437181 0.49642492 0.33503575 0.20633299 0.1113381
 0.05924413 0.03575077 0.03881512 0.04392237]",523.3587685924034,275.1918767567859
7.0,"[16.339, 26.249, 42.89, 67.746, 110.692, 177.828, 285.682, 407.369, 498.671, 631.363, 747.254, 867.546, 1064.547, 1347.813, 1900.795, 3216.273]","[0.026, 0.031, 0.035, 0.115, 0.087, 0.038, 0.053, 0.254, 0.383, 0.797, 1.111, 0.84, 0.594, 0.349, 0.068, 0.076]","[0.         0.00460829 0.00829493 0.08202765 0.0562212  0.01105991
 0.02488479 0.21013825 0.32903226 0.71059908 1.         0.75023041
 0.5235023  0.29769585 0.03870968 0.04608295]",805.7732789912183,713.8296457990723
8.0,"[42.307, 56.418, 85.613, 107.093, 142.718, 202.756, 372.273, 515.25, 587.477, 649.594, 742.104, 849.451, 970.424, 1241.14, 1537.416, 1794.602, 2456.44, 4097.589]","[0.02, 0.02, 0.061, 0.061, 0.041, 0.02, 0.02, 0.184, 0.286, 0.429, 0.592, 0.816, 0.98, 0.673, 0.367, 0.204, 0.02, 0.02]","[0.         0.         0.04270833 0.04270833 0.021875   0.
 0.         0.17083333 0.27708333 0.42604167 0.59583333 0.82916667
 1.         0.68020833 0.36145833 0.19166667 0.         0.        ]",948.3071207903007,875.6708051029119
10.0,"[74.124, 99.253, 121.302, 149.529, 188.242, 239.612, 322.489, 408.013, 486.982, 573.547, 656.768, 742.939, 911.855, 1222.712, 1592.438, 1967.323, 2369.014, 2774.826, 3471.707, 4551.138, 6182.697]","[0.016, 0.056, 0.285, 0.595, 0.32, 0.084, 0.037, 0.132, 0.308, 0.484, 0.682, 0.861, 1.017, 1.034, 0.864, 0.681, 0.478, 0.292, 0.121, 0.067, 0.049]","[0.         0.03929273 0.26424361 0.56876228 0.29862475 0.06679764
 0.02062868 0.11394892 0.28683694 0.45972495 0.65422397 0.83005894
 0.98330059 1.         0.83300589 0.65324165 0.45383104 0.27111984
 0.10314342 0.05009823 0.0324165 ]",1132.491189984004,822.4094480163353
12.0,"[67.289, 90.168, 105.346, 120.229, 130.409, 161.858, 218.347, 293.103, 392.95, 485.272, 542.218, 598.092, 651.647, 779.484, 1046.267, 1290.32, 1446.44, 1621.584, 1970.039, 2626.135, 3528.787]","[0.0, 0.042, 0.12, 0.211, 0.27, 0.134, 0.005, 0.002, 0.031, 0.109, 0.35, 0.578, 0.78, 0.988, 0.987, 0.758, 0.574, 0.388, 0.2, 0.034, 0.005]","[0.         0.04251012 0.12145749 0.21356275 0.27327935 0.13562753
 0.00506073 0.00202429 0.03137652 0.11032389 0.35425101 0.58502024
 0.78947368 1.         0.99898785 0.76720648 0.58097166 0.39271255
 0.20242915 0.03441296 0.00506073]",906.2501111787999,736.3601017492493
13.0,"[44.242, 59.424, 79.338, 110.322, 173.346, 268.767, 396.78, 532.839, 626.896, 709.854, 750.837, 792.025, 898.241, 989.039, 1133.27, 1217.346, 1332.215, 1599.47, 1906.109, 2381.823]","[0.004, 0.04, 0.07, 0.108, -0.012, -0.014, -0.01, 0.016, 0.042, 0.318, 0.456, 0.617, 0.811, 0.929, 0.681, 0.535, 0.357, 0.129, 0.037, -0.031]","[0.03645833 0.07395833 0.10520833 0.14479167 0.01979167 0.01770833
 0.021875   0.04895833 0.07604167 0.36354167 0.50729167 0.675
 0.87708333 1.         0.74166667 0.58958333 0.40416667 0.16666667
 0.07083333 0.        ]",937.5554338067682,825.8644489137497
15.0,"[38.813, 52.143, 62.303, 75.33, 94.046, 125.962, 169.091, 227.49, 282.592, 320.153, 357.629, 388.461, 421.314, 492.971, 638.68, 756.686, 839.316, 930.675, 1133.773, 1517.282, 2035.783]","[0.014, 0.061, 0.156, 0.254, 0.121, 0.012, 0.019, 0.139, 0.285, 0.509, 0.697, 0.829, 0.976, 0.984, 0.935, 0.712, 0.539, 0.35, 0.182, 0.032, 0.014]","[0.00205761 0.05041152 0.14814815 0.24897119 0.11213992 0.
 0.00720165 0.13065844 0.2808642  0.51131687 0.70473251 0.84053498
 0.99176955 1.         0.94958848 0.72016461 0.54218107 0.34773663
 0.17489712 0.02057613 0.00205761]",509.68747502642714,438.5551847586184
